Short_ID,Actual_Vol_SPE'd_mL,Empty_Vial,Vial_and_MeOH,g_MeOH,mL_MeOH
01.B.3,4,6.7536,7.3713,0.6177,0.779137235
01.A.3,4,6.7267,7.4029,0.6762,0.852926337
01.C.3,4,6.7408,7.4147,0.6739,0.850025227
0.C.3,4,6.7767,7.4033,0.6266,0.790363269
0.A.3,6,6.7512,7.4085,0.6573,0.829086781
0.B.3,4,6.7405,7.3829,0.6424,0.810292634
1.C.4,4,6.7381,7.3951,0.6570,0.828708375
1.A.4,4,6.7403,7.3895,0.6492,0.818869828
1.B.4,4,6.7353,7.4168,0.6815,0.859611504
5.C.4,4,6.7263,7.4195,0.6932,0.874369324
100.B.6,4,6.7396,7.4092,0.6696,0.844601413
100.A.6,4,6.7324,7.4205,0.6881,0.867936428
100.A.5,4,6.7801,7.4629,0.6828,0.861251261
25.A.4,4,6.7447,7.4249,0.6802,0.857971746
Blk1,4,6.7402,7.3844,0.6442,0.812563068
0.A.1,3,6.8041,7.4547,0.6506,0.820635721
0.B.1,3,6.7445,7.4146,0.6701,0.845232089
01.A.2,3,6.7973,7.4841,0.6868,0.86629667
01.B.2,3,6.7684,7.4425,0.6741,0.850277497
100.A.4,3,6.7412,7.4344,0.6932,0.874369324
5.C.3,3,6.753,7.4234,0.6704,0.845610494
25.B.3,3,6.7402,7.4218,0.6816,0.859737639
25.A.3,3,6.7346,7.3755,0.6409,0.808400605
25.C.3,3,6.7444,7.4455,0.7011,0.884334006
100.B.3,3,6.7533,7.4231,0.6698,0.844853683
5.A.4,3,6.7359,7.403,0.6671,0.841448032
25.B.5,3,6.7454,7.4036,0.6582,0.830221998
5.B.4,3,6.7278,7.3904,0.6626,0.835771948
25.A.5,3,6.7934,7.4605,0.6671,0.841448032
100.B.5,3,6.7784,7.7704,0.9920,1.251261352
100.C.5,3,6.7277,7.4039,0.6762,0.852926337
1.A.3,2.5,6.7794,7.4647,0.6853,0.864404642
1.C.3,2.5,6.7421,7.4158,0.6737,0.849772957
1.B.3,2.5,6.7542,7.4195,0.6653,0.839177598
5.B.3,2.5,6.7567,7.4346,0.6779,0.855070636
5.A.3,2.5,6.7492,7.4311,0.6819,0.860116044
100.A.3,2.5,6.7604,7.4418,0.6814,0.859485368
Blk2,4,6.7588,7.4344,0.6756,0.852169526
