Sample _ID,Vial_#,Date,Time,Conductivity,units,Notes,Diluted,"General notes: calibrated before running samples to 99.3 uS/cm standard, after calibrating standard read as 99.98. Rinsed 2x with DI water before 1x sample rinse and then measuring 1x with sample (sample volume limited)"
TMP_SW_C3,,20230707,,5528,uS,NOT A LOT,no,
TMP_FW_H3,,20230607,1600,55.6,uS,NOT A LOT,no,
TMP_FW_H3,,20230606,,14.39,us,VERY LITTLE,yes,
TMP_SW_B4,,20230617,,2860,uS,VERY LITTLE,yes,
TMP_FW_15,,20230607,1600,113.7,uS,NOT A LOT,no,
TMP_C_H6,,20230603,,67.6,uS,NOT A LOT,no,
TMP_SW_H6,,20230627,,3293,uS,NOT A LOT,no,
TMP_FW_15,,20230607,800,141.7,uS,NOT A LOT,no,
TMP_FW_F4,,20230607,1600,18.01,uS,NOT A LOT,yes,
TMP_FW_D5,,20230512,,56.57,uS,NOT A LOT,no,
TMP_SW_ESTUARY,,20230607,1700,12.85,mS,NOT A LOT,no,
TMP_FW_C3,,20230627,,50.96,uS,NOT A LOT,no,
TMP_SW_B4,,20230707,,5695,uS,NOT A LOT,no,
TMP_SW_SOURCE,,20230606,709,4665,uS,VERY LITTLE,no,
TMP_SW_SOURCE,,20230607,1515,12.87,mS,NOT A LOT,no,
TMP_SW_D5,,20230617,,5903,uS,MUCHO,no,
TMP_SW_ESTUARY,,20230607,710,13.24,mS,NOT A LOT,no,
TMP_SW_F6,,20230707,,4144,uS,NOT A LOT,no,
TMP_SW_E3,,20230608,,1908,uS,ALMOST NOTHING,yes,
TMP_FW_D5,,20230607,800,57.24,uS,NOT A LOT,no,
TMP_SW_C3,,20230607,800,10.07,mS,NOT A LOT,no,
TMP_SW_C3,,20230608,,3011,uS,VERY LITTLE,yes,
TMP_SW_C3,,20230607,1600,10.82,mS,VERY LITTLE,no,
TMP_C_I5,,20230710,,32.57,uS,NOT A LOT,no,
TMP_FW_C3,,20230608,,0.27,uS,ALMOST NOTHING,yes,
TMP_SW_ESTUARY,,20230606,1236,11.16,mS,NOT A LOT,no,
TMP_SW_SOURCE,,20230607,621,12.08,mS,NOT A LOT,no,
TMP_FW_SOURCE,,20230607,1519,0.05,uS,ALMOST NOTHING,yes,
TMP_SW_ESTUARY,,20230606,1524,11.94,mS,NOT A LOT,no,
TMP_C_H8,,20230710,,249.3,uS,NOT A LOT,no,
TMP_SW_B4,,20230614,,2893,uS,VERY LITTLE,no,
TMP_SW_F4,,20230627,,3604,uS,NOT A LOT,no,
TMP_SW_ESTUARY,,20230606,632,12.82,mS,VERY LITTLE,no,
TMP_SW_F6,,20230614,,2014,uS,VERY LITTLE,yes,
TMP_SW_E3,,20230607,1600,7224,uS,VERY LITTLE,no,
TMP_FW_H6_T2,,20230710,,95.99,uS,NOT A LOT,no,
TMP_FW_H6,,20230608,,30.74,uS,ALMOST NOTHING,yes,
TMP_SW_C6,,20230627,,3922,uS,NOT A LOT,no,
TMP_SW_SOURCE,,20230606,1502,4009,uS,VERY LITTLE,no,
TMP_FW_D5,,20230627,,54.41,uS,NOT A LOT,no,
TMP_FW_D5,,20230710,,42.34,uS,NOT A LOT,no,
TMP_C_I5,,20230628,,29.57,uS,MUCHO,no,
TMP_FW_I5,,20230617,,160.7,uS,VERY LITTLE,no,
TMP_FW_E3,,20230627,,48.22,uS,NOT A LOT,no,
TMP_FW_I5,,20230606,,113.8,uS,NOT A LOT,no,
